iter	Passed	Remaining
350	1481	2738
351	1490	2744
352	1493	2737
353	1501	2740
354	1509	2743
355	1513	2738
356	1518	2735
357	1521	2727
358	1529	2731
359	1532	2724
360	1541	2728
361	1544	2721
362	1546	2714
363	1557	2720
364	1570	2732
365	1582	2740
366	1591	2744
367	1596	2742
368	1605	2745
369	1614	2749
370	1617	2743
371	1621	2737
372	1624	2731
373	1627	2724
374	1631	2718
375	1634	2713
376	1639	2709
377	1644	2706
378	1652	2707
379	1662	2712
380	1671	2715
381	1677	2713
382	1696	2733
383	1702	2731
384	1708	2728
385	1716	2730
386	1720	2724
387	1728	2726
388	1732	2721
389	1740	2722
390	1746	2719
391	1754	2721
392	1760	2718
393	1765	2714
394	1770	2711
395	1776	2710
396	1785	2711
397	1792	2710
398	1801	2712
399	1807	2710
400	1810	2704
401	1819	2705
402	1829	2710
403	1833	2704
404	1840	2703
405	1847	2703
406	1855	2702
407	1863	2704
408	1869	2701
409	1878	2702
410	1881	2696
411	1890	2697
412	1900	2701
413	1904	2696
414	1909	2692
415	1913	2685
416	1919	2682
417	1928	2684
418	1930	2677
419	1938	2677
420	1941	2669
421	1944	2662
422	1947	2656
423	1955	2656
424	1958	2650
425	1961	2643
426	1964	2636
427	1967	2629
428	1970	2622
429	1973	2615
430	1976	2608
431	1979	2602
432	1982	2595
433	1984	2588
434	1988	2582
435	1991	2576
436	1994	2569
437	1997	2562
438	2000	2556
439	2003	2549
440	2006	2542
441	2008	2535
442	2011	2528
443	2013	2521
444	2017	2515
445	2020	2509
446	2022	2502
447	2026	2496
448	2030	2491
449	2033	2485
450	2036	2478
451	2039	2472
452	2041	2465
453	2044	2458
454	2047	2452
455	2049	2445
456	2052	2439
457	2055	2432
458	2058	2426
459	2061	2419
460	2063	2413
461	2066	2406
462	2070	2401
463	2073	2394
464	2076	2389
465	2079	2382
466	2082	2376
467	2084	2370
468	2087	2363
469	2090	2357
470	2093	2350
471	2095	2344
472	2098	2338
473	2100	2331
474	2104	2325
475	2106	2319
476	2110	2314
477	2115	2309
478	2118	2303
479	2122	2299
480	2125	2293
481	2129	2288
482	2132	2282
483	2135	2276
484	2138	2270
485	2141	2264
486	2143	2258
487	2146	2252
488	2149	2246
489	2155	2242
490	2159	2238
491	2168	2238
492	2176	2238
493	2179	2232
494	2183	2227
495	2191	2226
496	2193	2220
497	2200	2217
498	2208	2217
499	2211	2211
500	2217	2208
501	2221	2204
502	2224	2198
503	2227	2192
504	2230	2186
505	2233	2180
506	2236	2174
507	2239	2168
508	2242	2163
509	2245	2157
510	2248	2151
511	2250	2145
512	2254	2139
513	2256	2133
514	2259	2128
515	2262	2122
516	2265	2116
517	2268	2110
518	2271	2105
519	2274	2099
520	2277	2093
521	2280	2088
522	2283	2082
523	2286	2077
524	2289	2071
525	2292	2065
526	2295	2060
527	2298	2054
528	2302	2049
529	2304	2044
530	2307	2038
531	2310	2032
532	2313	2027
533	2315	2020
534	2318	2015
535	2321	2009
536	2324	2004
537	2327	1998
538	2330	1993
539	2332	1987
540	2335	1981
541	2338	1976
542	2341	1970
543	2344	1965
544	2347	1959
545	2350	1954
546	2352	1948
547	2356	1943
548	2359	1938
549	2361	1932
550	2364	1926
551	2367	1921
552	2370	1915
553	2372	1910
554	2375	1904
555	2378	1899
556	2381	1894
557	2384	1888
558	2387	1883
559	2389	1877
560	2392	1872
561	2395	1867
562	2398	1861
563	2401	1856
564	2403	1850
565	2406	1845
566	2409	1840
567	2412	1834
568	2414	1829
569	2418	1824
570	2421	1819
571	2423	1813
572	2426	1807
573	2429	1802
574	2431	1797
575	2435	1792
576	2438	1787
577	2440	1782
578	2443	1776
579	2447	1771
580	2450	1767
581	2453	1761
582	2462	1761
583	2470	1759
584	2476	1756
585	2479	1751
586	2481	1746
587	2484	1740
588	2489	1736
589	2491	1731
590	2495	1726
591	2497	1721
592	2501	1716
593	2503	1711
594	2506	1705
595	2509	1701
596	2512	1695
597	2516	1691
598	2519	1686
599	2522	1681
600	2525	1676
601	2528	1671
602	2531	1666
603	2534	1661
604	2537	1656
605	2540	1651
606	2542	1646
607	2545	1641
608	2548	1636
609	2551	1631
610	2554	1626
611	2559	1622
612	2562	1617
613	2565	1612
614	2567	1607
615	2570	1602
616	2573	1597
617	2576	1592
618	2578	1587
619	2581	1582
620	2584	1577
621	2587	1572
622	2589	1567
623	2592	1562
624	2595	1557
625	2598	1552
626	2601	1547
627	2605	1543
628	2607	1538
629	2610	1533
630	2613	1528
631	2615	1523
632	2618	1518
633	2621	1513
634	2624	1508
635	2626	1503
636	2630	1498
637	2635	1495
638	2639	1491
639	2644	1487
640	2647	1482
641	2650	1478
642	2653	1473
643	2655	1468
644	2658	1463
645	2661	1458
646	2664	1453
647	2666	1448
648	2669	1443
649	2672	1438
650	2675	1434
651	2679	1429
652	2681	1425
653	2684	1420
654	2688	1415
655	2691	1411
656	2694	1406
657	2697	1401
658	2700	1397
659	2703	1392
660	2708	1388
661	2712	1385
662	2716	1380
663	2720	1376
664	2724	1372
665	2727	1368
666	2730	1363
667	2733	1358
668	2736	1353
669	2739	1349
670	2741	1344
671	2744	1339
672	2747	1334
673	2750	1330
674	2754	1326
675	2757	1321
676	2761	1317
677	2764	1312
678	2767	1308
679	2769	1303
680	2775	1300
681	2781	1297
682	2786	1293
683	2788	1288
684	2791	1283
685	2794	1279
686	2797	1274
687	2800	1269
688	2802	1265
689	2805	1260
690	2808	1255
691	2811	1251
692	2815	1247
693	2818	1242
694	2821	1238
695	2824	1233
696	2826	1228
697	2829	1224
698	2832	1219
699	2835	1215
700	2838	1210
701	2841	1206
702	2845	1202
703	2848	1197
704	2851	1193
705	2854	1188
706	2857	1184
707	2860	1179
708	2863	1175
709	2866	1170
710	2871	1167
711	2879	1164
712	2885	1161
713	2894	1159
714	2899	1155
715	2908	1153
716	2916	1150
717	2925	1148
718	2932	1145
719	2939	1143
720	2948	1140
721	2957	1138
722	2962	1134
723	2971	1132
724	2979	1130
725	2986	1127
726	2993	1124
727	3004	1122
728	3014	1120
729	3021	1117
730	3030	1115
731	3037	1112
732	3046	1109
733	3053	1106
734	3063	1104
735	3073	1102
736	3080	1099
737	3091	1097
738	3095	1093
739	3105	1091
740	3109	1086
741	3117	1084
742	3126	1081
743	3130	1077
744	3137	1073
745	3140	1069
746	3143	1064
747	3145	1059
748	3148	1055
749	3151	1050
750	3153	1045
751	3156	1040
752	3159	1036
753	3161	1031
754	3165	1027
755	3168	1022
756	3171	1017
757	3173	1013
758	3177	1008
759	3180	1004
760	3183	999
761	3186	995
762	3189	990
763	3192	986
764	3194	981
765	3197	976
766	3200	972
767	3203	967
768	3207	963
769	3210	959
770	3214	954
771	3216	950
772	3219	945
773	3222	940
774	3225	936
775	3229	932
776	3232	927
777	3235	923
778	3238	918
779	3241	914
780	3244	909
781	3246	905
782	3249	900
783	3252	896
784	3255	891
785	3258	887
786	3261	882
787	3264	878
788	3267	873
789	3270	869
790	3273	864
791	3276	860
792	3279	856
793	3282	851
794	3285	847
795	3288	842
796	3291	838
797	3294	833
798	3297	829
799	3300	825
800	3303	820
801	3305	816
802	3309	811
803	3312	807
804	3314	802
805	3317	798
806	3320	794
807	3323	789
808	3326	785
809	3329	780
810	3331	776
811	3334	772
812	3337	767
813	3340	763
814	3342	758
815	3345	754
816	3348	749
817	3350	745
818	3353	741
819	3356	736
820	3358	732
821	3361	727
822	3364	723
823	3367	719
824	3370	714
825	3374	710
826	3377	706
827	3380	702
828	3383	697
829	3386	693
830	3388	689
831	3391	684
832	3394	680
833	3398	676
834	3402	672
835	3404	667
836	3408	663
837	3413	659
838	3420	656
839	3426	652
840	3432	649
841	3436	644
842	3440	640
843	3443	636
844	3446	632
845	3449	627
846	3452	623
847	3455	619
848	3458	615
849	3460	610
850	3463	606
851	3466	602
852	3470	598
853	3473	593
854	3476	589
855	3479	585
856	3482	581
857	3485	576
858	3488	572
859	3490	568
860	3493	564
861	3496	559
862	3499	555
863	3501	551
864	3504	546
865	3507	542
866	3510	538
867	3512	534
868	3515	529
869	3518	525
870	3521	521
871	3523	517
872	3526	513
873	3529	508
874	3532	504
875	3535	500
876	3537	496
877	3540	491
878	3543	487
879	3546	483
880	3549	479
881	3552	475
882	3554	471
883	3557	466
884	3560	462
885	3563	458
886	3566	454
887	3570	450
888	3573	446
889	3575	441
890	3578	437
891	3580	433
892	3583	429
893	3587	425
894	3590	421
895	3593	417
896	3597	413
897	3600	408
898	3604	404
899	3607	400
900	3609	396
901	3612	392
902	3615	388
903	3618	384
904	3620	380
905	3624	376
906	3626	371
907	3629	367
908	3632	363
909	3634	359
910	3637	355
911	3640	351
912	3643	347
913	3646	343
914	3649	339
915	3653	335
916	3656	330
917	3660	326
918	3663	322
919	3667	318
920	3672	315
921	3678	311
922	3683	307
923	3686	303
924	3690	299
925	3694	295
926	3697	291
927	3701	287
928	3704	283
929	3709	279
930	3711	275
931	3714	271
932	3717	266
933	3720	262
934	3722	258
935	3725	254
936	3728	250
937	3731	246
938	3735	242
939	3738	238
940	3741	234
941	3743	230
942	3747	226
943	3750	222
944	3753	218
945	3756	214
946	3759	210
947	3762	206
948	3764	202
949	3767	198
950	3770	194
951	3774	190
952	3776	186
953	3779	182
954	3782	178
955	3784	174
956	3787	170
957	3790	166
958	3793	162
959	3795	158
960	3798	154
961	3801	150
962	3803	146
963	3807	142
964	3810	138
965	3813	134
966	3816	130
967	3820	126
968	3822	122
969	3825	118
970	3828	114
971	3831	110
972	3833	106
973	3836	102
974	3839	98
975	3842	94
976	3844	90
977	3847	86
978	3850	82
979	3853	78
980	3856	74
981	3859	70
982	3863	66
983	3868	62
984	3870	58
985	3873	55
986	3876	51
987	3879	47
988	3882	43
989	3885	39
990	3888	35
991	3891	31
992	3895	27
993	3898	23
994	3901	19
995	3903	15
996	3906	11
997	3909	7
998	3913	3
999	3916	0
