iter	Logloss
0	0.6839958497
1	0.6752871387
2	0.6664861162
3	0.6581786504
4	0.6511980219
5	0.6443395975
6	0.6382073896
7	0.6326482423
8	0.6262674763
9	0.6208354717
10	0.6140127466
11	0.6077136506
12	0.6014843189
13	0.596762991
14	0.5923507286
15	0.5868786669
16	0.5827752637
17	0.5787678117
18	0.5755686251
19	0.5717288868
20	0.5682924805
21	0.5644000447
22	0.5613779629
23	0.5582567356
24	0.5550007159
25	0.5520271611
26	0.5489828188
27	0.5465531555
28	0.5439440195
29	0.5416208212
30	0.5396466973
31	0.5373510085
32	0.5348974465
33	0.5331236607
34	0.5313950292
35	0.5290707162
36	0.5267538924
37	0.5250787352
38	0.5228955042
39	0.5214765281
40	0.5199894522
41	0.5183615197
42	0.5167605237
43	0.5150912595
44	0.5137154298
45	0.5120868646
46	0.5107994069
47	0.5094240938
48	0.5081063936
49	0.5070586613
50	0.5057754995
51	0.5046958126
52	0.5031441982
53	0.502060484
54	0.5007736308
55	0.4996438542
56	0.4986011623
57	0.4976426657
58	0.4966662009
59	0.4959618365
60	0.4949687231
61	0.4939449592
62	0.4928037015
63	0.4919112866
64	0.491178987
65	0.4901882018
66	0.489371317
67	0.4886525527
68	0.4879011229
69	0.4870623596
70	0.4864257422
71	0.485649909
72	0.4850971358
73	0.4844751754
74	0.4837694438
75	0.4829674015
76	0.4823459881
77	0.4816410873
78	0.4807624247
79	0.4800382141
80	0.4796663993
81	0.4792235336
82	0.478644159
83	0.4781325414
84	0.4776017685
85	0.4770024494
86	0.4764120163
87	0.4757693423
88	0.4753706552
89	0.4748610404
90	0.4742693822
91	0.4737684848
92	0.4731250003
93	0.4725384327
94	0.4721667537
95	0.4717771647
96	0.4712964835
97	0.4707817942
98	0.4702050451
99	0.4696882497
100	0.4692949672
101	0.4688464607
102	0.4683515095
103	0.4678695579
104	0.467315048
105	0.4668769397
106	0.4664939776
107	0.4660163788
108	0.4655110712
109	0.4651746632
110	0.4647965737
111	0.4643808793
112	0.4640681803
113	0.4638115993
114	0.4636021583
115	0.4632442988
116	0.4627888916
117	0.4624659837
118	0.4621571258
119	0.4617333996
